student_id,age,study_hours,attendance,previous_score,assignment_score,sleep_hours,internet_hours,final_score
132,20,9.8,59.1,61.9,50.9,6.4,1.9,67.0
133,18,10.0,74.2,66.4,63.3,4.7,3.4,72.5
134,20,1.5,75.6,77.7,64.1,8.2,8.0,58.8
135,22,7.6,87.1,41.0,92.5,5.9,3.8,69.7
136,19,5.9,84.9,57.8,70.6,5.9,2.5,66.2
137,24,7.4,70.1,93.5,83.4,6.4,6.3,79.3
138,19,9.7,60.9,71.9,46.2,6.2,4.8,67.4
139,18,7.2,82.3,54.0,53.5,9.0,2.0,64.8
140,21,8.5,71.1,68.7,82.2,6.7,3.7,75.3
141,24,8.8,56.6,58.8,43.2,4.4,3.9,59.8
142,18,8.5,95.0,69.3,69.2,7.0,6.3,74.7
143,21,4.8,84.6,46.9,76.0,4.8,1.1,62.2
144,19,3.0,84.2,47.3,76.1,4.2,2.9,57.5
145,18,4.6,91.1,47.9,41.4,8.9,4.6,54.7
146,24,9.0,76.5,91.7,59.3,7.9,2.9,79.3
147,24,2.3,90.8,80.3,78.2,8.9,5.4,68.6
148,23,5.6,74.9,48.9,48.9,6.4,4.4,55.3
149,22,3.1,53.4,50.4,81.7,6.7,3.5,56.4
150,20,6.2,70.3,80.2,84.8,4.8,7.6,71.8
151,21,8.8,74.9,48.6,98.9,5.2,5.4,73.0
152,23,8.9,86.0,52.9,52.6,8.2,1.9,67.9
153,20,3.1,55.3,93.0,89.5,5.8,4.9,70.2
154,20,9.2,57.0,54.0,71.2,8.1,6.5,66.8
155,18,6.3,63.2,76.4,62.4,7.5,6.0,66.4
156,20,4.2,63.3,93.8,47.3,4.9,2.2,64.2
157,22,7.4,86.6,60.6,84.1,6.5,7.8,71.3
158,24,5.3,62.5,41.0,54.2,7.4,4.1,52.5
159,23,4.4,81.7,53.4,62.3,5.2,2.1,59.2
160,20,7.3,74.7,85.7,43.8,8.2,2.3,70.4
161,18,3.2,78.7,87.6,88.1,6.7,1.7,74.0
162,22,4.0,91.9,82.3,86.0,4.8,6.6,72.1
163,19,4.9,70.2,46.2,84.0,6.9,1.9,62.7
164,24,3.3,88.5,83.8,58.0,9.0,1.9,68.1
165,24,4.6,71.1,90.5,50.4,4.8,7.0,63.5
166,23,6.1,67.7,73.0,78.3,8.1,3.4,71.2
167,24,7.7,97.9,91.7,69.8,5.0,1.2,81.9
168,20,7.9,59.2,85.5,50.7,7.9,1.4,71.3
169,18,8.4,54.5,76.7,81.2,7.7,2.0,76.1
170,24,7.7,88.5,71.7,99.5,5.5,2.5,81.6
171,24,7.1,53.4,59.2,84.8,5.6,5.7,66.1
172,19,3.1,91.9,48.8,84.4,8.0,2.1,63.7
173,19,4.6,71.9,73.3,97.0,6.3,1.8,73.5
174,21,5.3,95.8,57.5,52.2,7.7,6.4,60.9
175,22,1.7,86.1,87.7,73.9,4.7,5.7,65.6
176,20,5.8,80.5,94.6,98.8,8.3,4.0,83.9
177,24,4.9,97.5,81.4,49.9,7.6,4.8,67.7
178,24,8.2,69.8,45.0,82.0,8.5,3.2,68.5
179,18,9.8,97.7,55.9,75.1,4.7,4.4,74.9
180,21,6.0,56.8,46.0,75.2,7.0,4.5,59.4
181,22,3.9,74.2,75.8,81.9,7.0,3.7,68.8
182,21,1.4,63.5,82.1,95.8,5.8,7.3,65.2
183,23,9.3,77.0,90.9,87.0,6.3,1.1,86.8
184,22,9.3,58.1,64.1,43.4,4.2,6.5,61.2
185,24,3.3,92.1,89.6,91.2,7.7,1.9,78.0
186,24,7.3,92.3,88.3,53.5,6.7,6.6,73.4
187,22,1.7,97.8,57.4,62.6,4.3,5.3,55.4
188,24,2.5,57.7,87.8,67.7,7.4,6.9,62.2
189,20,3.0,81.2,60.7,68.9,6.3,1.7,60.9
190,22,3.7,73.7,56.3,66.1,4.2,4.9,56.5
191,21,10.0,67.2,75.7,96.2,8.8,4.5,84.0
192,22,7.3,67.6,58.1,82.4,8.7,5.9,69.2
193,24,4.5,70.6,74.7,77.9,6.6,4.7,67.4
194,20,7.6,85.2,73.5,43.0,4.5,4.8,65.6
195,20,9.2,79.9,71.0,94.2,7.8,4.0,82.1
196,23,9.6,73.0,60.9,94.6,6.5,3.2,78.7
197,21,1.5,53.8,70.2,86.8,5.5,4.4,59.4
198,19,4.6,53.9,72.8,40.4,6.5,1.8,56.6
199,19,2.0,50.1,70.0,43.4,6.6,7.7,47.8
200,22,4.0,98.4,64.4,53.5,6.8,6.0,60.9
201,23,2.5,50.3,40.8,47.9,6.2,7.7,41.0
202,18,6.8,55.2,72.3,63.9,7.0,2.6,66.7
203,22,4.5,65.7,49.3,95.4,8.6,7.2,63.2
204,23,3.1,90.4,75.3,68.3,5.8,6.7,64.0
205,21,3.4,98.1,81.8,40.8,7.6,5.7,62.2
206,21,4.2,89.5,67.5,57.0,8.5,5.4,62.9
207,21,3.3,84.5,69.8,42.7,6.3,3.2,57.4
208,21,5.1,76.1,92.3,42.2,6.2,6.7,64.6
209,21,1.3,54.3,86.6,56.5,7.0,4.5,57.1
210,23,3.5,97.9,90.3,56.5,7.0,1.5,70.6
211,23,4.7,87.9,84.8,87.2,8.0,3.2,77.2
212,20,6.4,81.9,46.0,98.5,6.4,7.5,68.0
213,19,3.4,88.0,48.2,62.3,9.0,7.0,56.0
214,24,2.2,86.2,69.0,65.7,4.3,7.9,57.7
215,21,1.7,81.9,53.5,90.7,4.0,5.4,58.7
216,18,9.5,99.0,66.2,56.1,7.2,2.7,75.0
217,24,4.7,95.2,61.7,49.4,5.5,2.1,61.2
218,23,6.2,82.3,70.2,91.2,5.2,2.3,75.1
219,18,9.3,84.7,81.1,42.8,5.6,1.1,73.6
220,18,1.7,52.6,79.4,77.2,5.3,3.7,60.2
221,18,8.9,83.5,68.7,73.7,4.2,2.3,75.3
222,20,6.0,52.2,85.2,60.8,8.9,3.9,68.1
223,23,2.5,79.4,63.7,58.9,5.1,7.5,54.5
224,18,4.7,100.0,89.3,86.3,7.7,4.0,79.6
225,21,8.0,77.8,43.9,45.2,7.8,7.1,57.5
226,22,5.3,73.7,92.5,54.2,8.6,5.2,69.7
227,18,9.9,65.6,76.0,83.9,4.2,2.7,79.2
228,20,4.4,56.0,60.9,72.9,8.4,3.5,61.1
229,24,7.7,86.6,50.8,47.7,6.6,1.6,63.1
230,23,4.5,59.6,66.4,92.9,7.2,3.3,68.0
231,20,8.5,55.8,50.7,63.6,7.2,5.7,62.2
232,18,6.1,71.1,49.1,89.7,8.1,1.5,68.3
233,23,1.6,89.8,74.0,87.3,5.7,2.4,67.3
234,22,1.3,87.3,68.8,77.5,7.7,3.7,62.7
235,18,2.2,52.7,76.9,69.7,6.6,7.9,57.2
236,20,1.1,72.8,91.1,98.8,8.0,6.5,70.9
237,19,1.7,76.1,69.3,48.7,9.0,6.1,54.2
238,21,7.2,82.2,72.0,83.5,5.0,1.8,75.8
239,24,5.8,82.5,44.9,51.5,9.0,6.5,56.6
240,20,7.7,68.2,79.5,60.3,4.4,6.5,68.5
241,23,9.2,78.0,62.0,58.5,4.0,5.2,67.7
242,18,6.3,74.1,93.7,96.8,4.2,7.9,79.2
243,21,7.5,94.2,85.3,98.0,5.7,3.3,85.4
244,18,7.8,76.5,68.7,51.0,7.2,7.6,65.2
245,23,4.4,72.1,46.8,41.3,4.3,7.4,47.4
246,18,3.2,70.2,87.3,83.2,4.0,1.1,70.4
247,19,2.8,78.6,84.0,65.1,8.7,4.2,66.1
248,21,3.3,90.2,50.2,45.3,8.1,7.8,51.7
249,21,3.5,76.9,56.2,81.0,8.0,1.7,63.8
250,23,2.9,83.1,83.6,72.7,8.4,4.8,68.3
251,24,8.9,86.9,50.2,98.8,7.5,7.9,75.4
252,19,7.8,76.0,90.5,53.6,4.5,4.9,72.4
253,20,1.4,71.3,63.3,64.2,6.0,2.3,55.4
254,18,3.4,93.8,44.8,72.6,7.6,5.1,58.7
255,22,1.2,70.9,84.9,87.5,5.4,2.4,66.9
256,18,5.5,73.1,60.5,72.9,7.4,4.6,64.7
257,18,5.3,99.5,69.0,76.8,4.1,1.5,71.7
258,20,8.5,50.0,46.2,53.6,5.5,5.2,56.9
259,18,3.8,59.3,40.1,90.8,6.7,4.6,57.3
260,19,8.3,69.2,75.1,65.7,7.2,6.2,71.4
261,19,9.7,96.6,68.3,48.5,6.9,5.4,72.3
262,21,1.8,53.5,72.6,79.9,7.5,4.8,59.7
263,23,8.1,50.5,83.7,53.0,4.0,5.8,66.2
264,24,6.3,52.6,75.6,45.9,4.5,2.0,60.9
265,22,5.3,54.4,49.6,91.7,8.3,5.2,63.1
266,18,4.8,51.9,59.8,67.6,7.4,2.2,59.8
267,18,8.1,74.0,89.8,85.0,4.6,7.5,79.0
268,20,6.8,79.0,82.3,57.4,8.2,1.5,72.8
269,23,8.2,63.6,70.6,87.2,5.2,4.0,74.5
270,19,9.1,69.9,54.1,46.7,6.4,5.9,61.8
271,22,6.6,54.6,56.6,61.4,4.7,4.2,59.0
272,21,9.8,66.8,80.3,98.7,7.6,1.6,86.4
273,19,6.5,76.1,86.8,87.6,7.3,4.9,78.6
274,23,6.7,86.6,76.9,69.8,5.1,5.5,71.7
275,24,6.0,50.2,84.5,60.4,8.3,5.9,66.2
276,21,1.8,73.4,82.2,92.3,6.0,3.6,68.5
277,24,7.5,64.9,48.2,72.7,5.5,4.9,62.7
278,20,5.9,92.6,63.3,85.5,4.8,4.2,71.4
279,20,5.1,85.8,48.4,85.2,5.3,5.7,63.7
280,18,9.2,79.5,52.9,41.1,4.1,5.1,61.0
281,24,3.7,63.9,87.8,47.6,6.9,4.7,61.3
282,23,5.7,95.5,66.0,79.6,8.2,2.7,73.2
283,22,7.3,52.3,69.4,49.7,6.7,1.0,63.5
284,21,8.2,55.5,49.8,55.3,5.1,2.2,59.9
285,19,5.1,69.6,57.2,96.8,4.2,1.8,68.2
286,23,8.6,56.2,52.7,73.6,5.1,4.1,65.3
287,23,7.9,97.8,51.3,85.0,6.1,5.3,72.5
288,20,1.6,89.9,75.1,73.5,7.8,2.5,65.2
289,24,1.4,62.9,54.1,73.2,4.9,7.6,50.4
290,18,6.6,79.4,74.8,45.6,7.6,1.0,67.2
291,18,4.1,99.1,43.2,60.6,8.3,6.4,57.1
292,21,2.9,94.2,47.8,56.9,6.3,5.4,53.9
293,20,6.2,80.0,55.1,63.4,8.1,3.6,64.0
294,23,4.1,95.2,72.8,87.9,6.8,1.4,74.0
295,22,5.8,99.5,77.2,62.3,7.2,5.4,71.2
296,20,5.1,87.2,64.3,67.1,6.6,3.7,65.8
297,21,6.3,53.2,64.5,63.8,6.3,7.6,60.2
298,21,4.6,70.1,79.8,45.6,5.2,4.8,60.3
299,20,7.3,91.9,40.9,66.5,5.5,7.6,61.2
300,21,2.6,61.5,58.8,51.7,5.4,2.5,51.4
301,20,7.3,91.5,85.0,51.2,6.8,6.1,72.0
302,19,4.7,56.0,73.2,45.6,4.6,5.3,55.8
303,20,8.9,52.3,58.5,61.4,8.6,6.2,64.7
304,24,5.6,69.2,89.8,85.4,7.6,2.5,77.4
305,20,9.8,51.8,82.5,56.6,6.0,5.7,71.4
306,21,6.4,97.9,54.6,58.7,4.8,4.5,63.7
307,24,3.0,91.3,75.5,78.6,8.4,6.2,68.1
308,21,8.4,90.0,72.8,51.8,8.1,3.3,72.5
309,18,4.1,81.5,62.1,93.8,7.6,7.2,67.7
310,18,4.1,60.8,60.2,71.2,5.4,1.6,60.1
311,24,1.3,75.9,58.9,66.9,6.0,6.7,53.0
312,19,5.9,79.9,73.9,73.5,4.5,7.0,68.1
313,18,5.8,76.3,64.3,50.0,4.9,6.7,58.9
314,20,4.2,63.0,85.8,76.8,7.9,4.6,69.4
315,21,9.0,75.8,76.8,61.8,7.6,4.1,74.6
316,18,2.2,74.6,43.8,93.8,7.0,8.0,56.7
317,18,4.0,99.8,75.2,50.1,8.5,2.6,66.0
318,19,3.9,94.9,54.9,70.4,6.9,4.8,62.2
319,24,1.8,73.2,72.6,75.9,6.3,5.7,60.6
320,24,5.3,81.1,77.4,42.0,5.7,5.9,61.4
321,23,7.2,87.4,52.7,61.8,8.7,2.4,66.9
322,19,5.6,51.7,65.1,84.0,4.4,5.6,63.9
323,20,2.4,94.7,50.5,89.2,8.7,6.7,62.5
324,24,4.4,93.0,42.9,58.8,8.1,1.4,58.7
325,21,1.0,72.9,60.8,87.9,4.6,7.4,56.8
326,19,8.8,69.6,60.0,98.1,6.8,1.2,78.4
327,18,1.8,63.6,94.8,91.4,8.3,3.5,71.8
328,21,6.4,73.8,64.5,47.1,6.9,1.1,62.9
329,21,9.9,52.2,58.3,84.4,8.5,1.5,74.7
330,18,5.8,92.6,71.9,59.2,8.7,7.4,67.5
331,19,9.3,51.8,44.9,99.3,6.1,3.5,71.0
332,18,3.1,66.5,92.9,69.1,5.9,4.0,67.3
333,23,7.8,96.6,74.9,47.3,8.7,2.5,72.5
334,21,5.8,86.8,81.5,83.5,7.4,5.2,76.0
335,22,7.5,64.1,49.4,59.4,4.6,5.2,59.0
336,22,1.6,62.6,62.5,99.8,4.2,3.6,61.6
337,20,2.3,50.3,63.2,98.8,6.8,3.3,62.6
338,24,2.2,84.8,85.2,79.4,8.7,7.2,68.3
339,18,7.2,52.4,40.1,47.8,8.2,3.7,53.5
340,18,8.6,76.6,56.5,81.2,7.4,4.5,72.4
341,20,7.7,98.1,94.0,45.6,4.7,3.0,75.6
342,20,1.3,55.5,66.1,41.8,5.3,6.5,45.6
343,20,8.8,94.7,61.0,89.4,8.4,3.8,79.8
344,21,4.2,99.6,46.6,52.6,4.9,4.6,55.6
345,23,4.6,53.1,93.6,62.7,5.4,2.8,67.2
346,18,1.9,94.1,41.1,98.4,4.6,7.9,58.2
347,21,7.6,75.8,80.5,60.2,7.4,3.0,73.0
348,20,2.6,95.3,82.3,57.8,8.7,6.4,64.8
349,18,6.1,78.6,53.4,95.1,5.3,4.0,69.4
350,21,8.6,83.1,76.9,46.6,6.4,2.4,71.4
351,23,1.8,77.2,45.1,85.6,7.2,6.6,55.4
352,21,5.8,93.2,54.1,99.3,9.0,3.3,74.5
353,23,3.1,86.7,83.3,94.1,4.5,7.1,71.4
354,20,4.1,76.1,87.6,79.1,6.5,7.4,70.2
355,23,5.3,93.4,73.5,58.8,5.9,7.0,65.8
356,18,4.2,62.3,67.9,55.3,8.3,1.2,60.5
357,20,6.8,57.9,48.8,89.2,6.4,6.5,64.2
358,18,5.3,58.0,43.5,92.8,4.6,3.9,60.9
359,22,6.3,66.7,46.5,71.5,7.2,7.1,59.5
360,19,7.6,61.9,52.5,54.7,7.9,5.5,60.1
361,23,6.0,96.5,58.8,46.8,4.0,6.8,59.4
362,19,6.3,55.3,61.0,45.2,8.3,4.5,57.4
363,19,6.1,84.9,59.0,83.1,4.9,4.7,68.5
364,23,4.4,59.5,53.1,65.2,6.8,2.0,57.4
365,20,4.0,94.1,68.0,94.3,6.1,6.5,70.9
366,22,9.1,98.1,85.4,84.4,7.6,3.9,86.5
367,18,6.5,73.3,55.4,51.5,5.9,4.5,59.2
368,21,3.2,94.0,91.8,76.8,8.3,6.5,73.1
369,18,5.5,50.3,88.0,66.1,7.7,5.2,67.7
370,21,4.0,91.0,48.9,74.6,7.2,2.4,62.4
371,18,9.4,61.4,83.2,84.3,8.0,5.1,80.5
372,23,1.1,95.4,71.6,88.4,7.8,3.9,67.0
373,22,3.0,50.1,71.2,90.6,4.2,4.3,62.5
374,21,4.3,77.8,61.5,55.2,6.0,1.2,59.9
375,24,5.4,87.8,67.6,41.9,8.7,2.5,62.8
376,20,8.7,62.9,61.8,84.4,4.6,3.0,72.3
377,18,1.8,59.7,69.7,46.4,7.7,6.0,50.9
378,18,8.3,54.2,74.5,58.9,8.9,1.1,70.7
379,21,1.5,66.3,77.1,40.2,4.3,3.9,51.3
380,20,8.6,78.0,69.3,80.9,7.4,7.5,74.9
381,20,1.5,55.8,79.7,50.0,6.3,1.8,55.0
382,23,1.2,68.8,47.8,79.3,6.9,4.6,53.0
383,24,7.3,50.5,51.7,99.5,4.4,6.5,66.5
384,23,10.0,90.9,85.0,44.4,4.2,7.6,73.5
385,23,9.1,56.4,57.7,44.6,7.3,6.2,60.7
386,23,6.2,64.2,41.3,60.4,8.1,6.0,55.6
387,23,9.3,50.9,48.5,92.0,7.9,6.8,69.3
388,23,1.0,71.6,52.3,52.9,6.7,4.1,48.0
389,22,9.8,92.0,92.7,61.6,4.5,6.6,80.6
390,20,5.4,69.6,71.5,44.1,7.4,1.1,61.9
391,23,7.5,59.0,91.3,85.8,5.2,7.5,76.5
392,20,8.4,87.7,71.6,64.5,8.6,4.1,74.8
393,20,7.5,89.4,66.4,85.6,8.2,4.9,76.4
394,19,5.8,58.7,57.3,94.2,7.5,2.8,68.5
395,22,5.3,88.5,73.4,54.0,8.7,6.2,65.6
396,23,8.5,97.4,47.7,88.4,4.2,1.5,74.4
397,18,2.8,58.3,89.4,43.5,7.7,7.1,57.3
398,21,9.7,88.5,85.6,93.9,5.7,6.8,86.3
399,24,7.4,85.4,57.5,79.0,8.5,2.5,72.6
400,18,2.8,73.7,92.4,92.5,5.3,6.7,71.8
401,22,7.6,52.9,85.4,40.0,7.6,6.5,64.3
402,21,5.8,53.7,76.6,50.1,8.4,5.4,61.7
403,22,7.4,92.6,46.7,63.4,4.2,3.6,63.9
404,20,7.9,99.5,66.3,62.8,6.0,2.9,72.9
405,21,1.8,83.8,67.8,53.6,7.8,2.6,57.5
406,20,5.6,72.3,52.8,62.9,6.3,3.2,60.2
407,18,9.4,82.4,44.4,47.7,5.3,7.3,60.4
408,18,3.9,79.7,82.7,64.8,5.1,1.5,67.6
409,21,6.3,69.2,46.7,88.1,4.7,6.8,63.0
410,21,4.3,53.3,72.7,68.7,8.3,3.4,63.0
411,23,5.1,91.1,91.5,41.1,6.9,4.7,67.7
412,22,5.9,68.6,88.2,65.3,4.4,6.6,68.8
413,23,5.9,90.9,55.3,41.6,5.9,7.2,56.8
414,22,2.8,62.6,86.8,98.0,5.8,3.4,71.7
415,23,7.2,50.1,40.0,47.6,4.9,4.2,51.2
416,20,1.8,57.9,41.0,82.5,6.2,3.9,51.4
417,21,2.2,73.4,73.1,98.4,5.7,1.1,69.2
418,18,1.0,97.2,60.1,89.6,5.7,3.1,63.3
419,22,2.1,55.1,61.3,82.0,7.7,4.2,58.1
420,22,5.3,92.7,71.0,90.4,5.1,3.9,74.0
421,18,6.5,76.4,50.5,98.9,7.2,6.1,69.9
422,23,8.1,91.3,51.6,77.3,6.9,3.7,71.3
423,22,2.0,64.9,66.7,73.6,6.8,4.4,58.3
424,24,8.7,92.0,81.5,77.7,7.3,4.0,81.7
425,20,7.7,88.6,74.1,72.0,6.7,6.2,74.2
426,21,4.7,61.5,56.4,78.1,8.4,7.0,60.8
427,18,9.4,56.6,63.7,67.0,7.4,4.7,69.5
428,21,9.9,93.4,49.4,53.1,6.7,6.5,67.0
429,24,2.8,98.2,44.1,47.2,8.1,3.1,52.9
430,22,4.4,51.6,83.0,44.1,7.0,4.8,58.6
431,22,9.3,86.6,54.6,55.8,5.5,3.4,68.0
432,24,7.5,95.5,49.8,42.8,5.0,3.9,60.5
433,18,1.4,92.9,78.0,74.0,4.8,6.1,63.0
434,20,8.0,98.2,74.0,57.0,8.5,7.2,72.8
